year,donor_name,purpose_code,purpose_name,usd_disbursement_deflated_Sum
2010,Asian Development Bank,13020,Reproductive health care,0.0
2010,Asian Development Bank,13030,Family planning,0.0
2010,Australia,13020,Reproductive health care,21.743659514799997
2010,Australia,13030,Family planning,5.345352
2010,Austria,13020,Reproductive health care,1.0560623
2010,Austria,13030,Family planning,0.0321206
2010,Belgium,13020,Reproductive health care,0.3844622
2010,Canada,13020,Reproductive health care,4.537153816
2010,Canada,13030,Family planning,3.181729128660001
2010,Denmark,13020,Reproductive health care,1.7274298570000004
2010,Denmark,13030,Family planning,6.706937
2010,EU Institutions,13020,Reproductive health care,19.67499742
2010,EU Institutions,13030,Family planning,1.3879007
2010,Finland,13020,Reproductive health care,5.847291830000001
2010,Finland,13030,Family planning,0.0871792
2010,France,13020,Reproductive health care,2.717621
2010,France,13030,Family planning,0.670089507
2010,Germany,13020,Reproductive health care,33.78081301999999
2010,Germany,13030,Family planning,10.991574401999998
2010,Inter-American Development Bank,13020,Reproductive health care,0.0450973
2010,International Development Association,13020,Reproductive health care,61.72078718384999
2010,Ireland,13020,Reproductive health care,0.4068582
2010,Ireland,13030,Family planning,0.0165577
2010,Islamic Development Bank,13020,Reproductive health care,
2010,Italy,13020,Reproductive health care,3.901391551
2010,Japan,13020,Reproductive health care,23.592289774500006
2010,Japan,13030,Family planning,
2010,Korea,13020,Reproductive health care,2.72788769
2010,Korea,13030,Family planning,0.655026
2010,Luxembourg,13020,Reproductive health care,6.733563800000001
2010,Luxembourg,13030,Family planning,0.0587808
2010,Netherlands,13020,Reproductive health care,91.0969089
2010,Netherlands,13030,Family planning,2.1997409877355
2010,New Zealand,13020,Reproductive health care,3.2640360000000004
2010,Norway,13020,Reproductive health care,22.9596771
2010,Norway,13030,Family planning,0.87649263
2010,Portugal,13020,Reproductive health care,0.187328
2010,Spain,13020,Reproductive health care,36.410955505
2010,Spain,13030,Family planning,9.19255962
2010,Sweden,13020,Reproductive health care,30.520379259
2010,Switzerland,13020,Reproductive health care,6.960929500000001
2010,UNDP,13020,Reproductive health care,0.0263481
2010,UNFPA,13020,Reproductive health care,144.5884610929502
2010,UNICEF,13020,Reproductive health care,16.7386339788
2010,United Kingdom,13020,Reproductive health care,191.491720808
2010,United Kingdom,13030,Family planning,16.723772
2010,United States,13020,Reproductive health care,546.0575193505997
2010,United States,13030,Family planning,501.2691308843991
2010,World Health Organisation,13020,Reproductive health care,17.660507355000004
2011,Asian Development Bank,13020,Reproductive health care,
2011,Asian Development Bank,13030,Family planning,
2011,Australia,13020,Reproductive health care,59.51907040000002
2011,Australia,13030,Family planning,7.432691999999999
2011,Austria,13020,Reproductive health care,0.8333419999999999
2011,Austria,13030,Family planning,0.01904603
2011,Belgium,13020,Reproductive health care,5.628916169999999
2011,Belgium,13030,Family planning,0.215587
2011,Canada,13020,Reproductive health care,13.708721571999998
2011,Canada,13030,Family planning,4.101354428
2011,Czech Republic,13020,Reproductive health care,0.304754
2011,Denmark,13020,Reproductive health care,20.4475201
2011,Denmark,13030,Family planning,0.0
2011,EU Institutions,13020,Reproductive health care,15.997552829999998
2011,Finland,13020,Reproductive health care,5.52203718
2011,Finland,13030,Family planning,0.0144386
2011,France,13020,Reproductive health care,22.1596674
2011,Germany,13020,Reproductive health care,34.43521427
2011,Germany,13030,Family planning,7.197493387
2011,Iceland,13020,Reproductive health care,0.5720274
2011,International Development Association,13020,Reproductive health care,61.49072879
2011,International Development Association,13030,Family planning,0.0
2011,Ireland,13020,Reproductive health care,1.5061057000000002
