donor_name,Code type,recipient_name,2016,2017,2018,2019,rank
International Development Association,Reproductive health care,South Sudan,0.0,0.0,0.0,23.758962,1
International Development Association,Reproductive health care,Niger,2.527854,1.288214,9.121908,20.113174,2
International Development Association,Reproductive health care,Yemen,10.814675,49.675699,17.235911,17.975815,3
International Development Association,Reproductive health care,Nigeria,29.633427,28.588532999999998,43.981718,13.179794999999999,4
International Development Association,Reproductive health care,Kenya,0.0,4.302921,4.282168,10.400787,5
International Development Association,Reproductive health care,Ghana,6.475434,0.631534,4.310357,8.545455,6
International Development Association,Reproductive health care,Bangladesh,0.0,0.0,20.787931,7.349219,7
International Development Association,Reproductive health care,Tanzania,13.505169,11.755308,9.746256,6.583902,8
International Development Association,Reproductive health care,Central African Republic,0.0,0.0,0.0,6.06765,9
International Development Association,Reproductive health care,Lao People's Democratic Republic,1.44106,1.100612,1.636924,2.0268420000000003,10
International Development Association,Reproductive health care,Bhutan,0.0,0.0,0.0,1.85943,11
International Development Association,Reproductive health care,Malawi,3.7874990000000004,3.898355,0.660733,1.658954,12
International Development Association,Reproductive health care,Mauritania,0.0,0.631534,0.236253,1.586171,13
International Development Association,Reproductive health care,Pakistan,0.0,1.180503,0.05966,0.90475,14
International Development Association,Reproductive health care,Sierra Leone,1.798225,0.381967,0.390185,0.690824,15
International Development Association,Reproductive health care,Cambodia,0.0,0.659245,0.703509,0.599848,16
International Development Association,Reproductive health care,Lesotho,0.213283,0.818102,0.744607,0.421355,17
International Development Association,Reproductive health care,Burkina Faso,22.553007,0.734078,0.77558,0.332902,18
International Development Association,Reproductive health care,Cameroon,1.447816,-0.03084199999999998,0.532856,0.309835,19
International Development Association,Reproductive health care,Mali,2.260738,0.238945,0.0,0.276799,20
International Development Association,Reproductive health care,Kyrgyzstan,1.300807,1.5715659999999998,0.800353,0.119594,21
International Development Association,Reproductive health care,Guinea-Bissau,0.0,0.0,0.0,0.105358,22
International Development Association,Reproductive health care,Marshall Islands,0.0,0.0,0.0,0.101743,23
International Development Association,Reproductive health care,Armenia,0.537508,0.188932,0.255133,0.061876,24
International Development Association,Reproductive health care,Mozambique,0.0,0.0,5.676207,0.0,25
International Development Association,Reproductive health care,Congo,0.429294,1.780554,1.831546,0.0,26
International Development Association,Reproductive health care,Angola,22.642379,11.130697,0.292037,0.0,27
International Development Association,Reproductive health care,India,3.6558439999999996,2.833309,0.0,0.0,28
International Development Association,Reproductive health care and family planning,Niger,5.055708,2.576428,18.243816,40.226348,1
International Development Association,Reproductive health care and family planning,South Sudan,0.0,0.0,0.0,23.758962,2
International Development Association,Reproductive health care and family planning,Yemen,10.814675,49.675699,17.235911,17.975815,3
International Development Association,Reproductive health care and family planning,Nigeria,43.54261,28.588532999999998,80.87646699999999,13.179794999999999,4
International Development Association,Reproductive health care and family planning,Kenya,0.0,4.302921,4.282168,10.400787,5
International Development Association,Reproductive health care and family planning,Ghana,6.475434,0.631534,4.310357,8.545455,6
