country_name,country_code,iso3
EU Institutions,918,
Inter-American Development Bank,909,
International Development Association,905,
International Bank for Reconstruction and Development,901,
Islamic Development Bank,976,
African Development Bank,913,
Asian Development Bank,915,
African Development Fund,914,
IFAD,988,
Global Environment Facility,811,
UNDP,959,
UNICEF,963,
IMF (Concessional Trust Funds),958,
UNFPA,974,
UNAIDS,971,
Global Fund,1312,
UNRWA,964,
UN Peacebuilding Fund,923,
Global Alliance for Vaccines and Immunization,1311,
Arab Fund (AFESD),921,
WFP,966,
UNECE,948,
OPEC Fund for International Development,951,
European Bank for Reconstruction and Development,990,
World Health Organisation,928,
Bill & Melinda Gates Foundation,1601,
Nordic Development Fund,104,
OSCE,978,
Council of Europe Development Bank,1013,
Adaptation Fund,1012,
UNHCR,967,
Arab Bank for Economic Development in Africa,953,
International Labour Organisation,940,
International Finance Corporation,903,
Climate Investment Funds,1011,
Charity Projects Ltd (Comic Relief),1614,
MetLife Foundation,1605,
Conrad N. Hilton Foundation,1617,
Gatsby Charitable Foundation,1616,
MAVA Foundation,1610,
Food and Agriculture Organisation,932,
Global Green Growth Institute,1313,
C&A Foundation,1613,
H&M Foundation,1612,
Montreal Protocol,812,
International Atomic Energy Agency,944,
Green Climate Fund,1016,
Caribbean Development Bank,906,
UNEP,807,
Arcus Foundation,1625,
IDB Invest,1019,
People's Postcode Lottery,1604,
Swedish Postcode Lottery,1603,
Dutch Postcode Lottery,1602,
Michael & Susan Dell Foundation,1621,
World Tourism Organisation,1023,
Asian Infrastructure Investment Bank,1024,
Center of Excellence in Finance,1025,
Development Bank of Latin America,1015,
John D. & Catherine T. MacArthur Foundation,1619,
"Omidyar Network Fund, Inc.",1622,
Wellcome Trust,1628,
MasterCard Foundation,1606,
Children's Investment Fund Foundation,1615,
Carnegie Corporation of New York,1620,
William & Flora Hewlett Foundation,1624,
Gordon and Betty Moore Foundation,1626,
Ford Foundation,1627,
David & Lucile Packard Foundation,1618,
Central Emergency Response Fund,1020,
Oak Foundation,1611,
