country_name,country_code,iso3
"DAC EU Members + EC, Total",20004,
"DAC Countries, Total",20001,
"G7 Countries, Total",20003,
"Non-DAC Countries, Total",20006,
"DAC EU Members, Total",20011,
EU Institutions,918,
"Multilaterals, Total",20002,
Other donor countries,20007,
United Arab Emirates,576,ARE
Australia,801,AUS
Austria,1,AUT
Azerbaijan,611,AZE
Belgium,2,BEL
Bulgaria,72,BGR
Canada,301,CAN
Switzerland,11,CHE
Cyprus,30,CYP
Czech Republic,68,CZE
Germany,5,DEU
Denmark,3,DNK
Spain,50,ESP
Estonia,82,EST
Finland,18,FIN
France,4,FRA
United Kingdom,12,GBR
Greece,40,GRC
Croatia,62,HRV
Hungary,75,HUN
Ireland,21,IRL
Iceland,20,ISL
Israel,546,ISR
Italy,6,ITA
Japan,701,JPN
Kazakhstan,613,KAZ
Korea,742,KOR
Kuwait,552,KWT
Liechtenstein,70,LIE
Lithuania,84,LTU
Luxembourg,22,LUX
Latvia,83,LVA
Malta,45,MLT
Netherlands,7,NLD
Norway,8,NOR
New Zealand,820,NZL
Poland,76,POL
Portugal,9,PRT
Romania,77,ROU
Russia,87,RUS
Saudi Arabia,566,SAU
Slovak Republic,69,SVK
Slovenia,61,SVN
Sweden,10,SWE
Thailand,764,THA
Timor-Leste,765,TLS
Turkey,55,TUR
Chinese Taipei,732,TWN
United States,302,USA
