active_mirror_name,col_name,col_source_name,col_description,data_type,col_alias
cblb,country_name,country_name,Country name,C,Country name
cblb,di_id,di_id,ISO Alpha 2,C,ISO Alpha 2
cblb,iso3,iso3,ISO Alpha 3,C,ISO Alpha 3
cblb,cblb,cblb,Country Being Left Behind (1 = True),N,Country Being Left Behind
PovCalNetSmy,isInterpolated,isInterpolated,Data is interpolated between survey years,N,Is Interpolated
PovCalNetSmy,useMicroData,useMicroData,Whether the data is based on unit observations (1) or grouped observations (0),N,Use Micro Data
PovCalNetSmy,CountryCode,CountryCode,Country code,C,Country code
PovCalNetSmy,CountryName,CountryName,Country name,C,Country name
PovCalNetSmy,RegionCode,RegionCode,World Bank region code,C,Region Code
PovCalNetSmy,CoverageType,CoverageType,"Survey type (Rural, Urban, National, Aggregate)",C,Coverage Type
PovCalNetSmy,RequestYear,RequestYear,Standardized data year,N,Request Year
PovCalNetSmy,DataYear,DataYear,Survey data year,N,Data Year
PovCalNetSmy,DataType,DataType,"Survey of income (i), consumption (c), or combined (x)",C,Data Type
PovCalNetSmy,PPP,PPP,Purchasing Power Parity conversion factor used to convert from 2011 LCU to 2011 PPP,N,Ppp
PovCalNetSmy,PovertyLine,PovertyLine,Poverty line in PPP,N,Poverty Line
PovCalNetSmy,Mean,Mean,Mean consumption/income of the economy,N,Mean
PovCalNetSmy,HeadCount,HeadCount,Percent of population under poverty line,N,Head Count
PovCalNetSmy,PovGap,PovGap,The ratio of the average income under the poverty line to the poverty line,N,Pov Gap
PovCalNetSmy,PovGapSqr,PovGapSqr,Squared Poverty Gap Index - a measure of poverty severity,N,Pov Gap Sqr
PovCalNetSmy,Watts,Watts,Watts poverty index - a measure of depth of poverty,N,Watts
PovCalNetSmy,Gini,Gini,Gini coefficient - a measure of inequality,N,Gini
PovCalNetSmy,Median,Median,Median consumption/income of the economy,N,Median
PovCalNetSmy,pr.mld,pr.mld,Mean log deviation - a measure of inequality,N,Pr.mld
PovCalNetSmy,Polarization,Polarization,Wolfson Polarisation Index - a measure of consumption/income polarisation around the median,N,Polarization
PovCalNetSmy,ReqYearPopulation,ReqYearPopulation,Population of the country in the standardized data year,N,Req Year Population
PovCalNetSmy,SvyInfoID,SvyInfoID,Survey identification code,C,Survey identification code
PovCalNetSmy,Decile1,Decile1,Percent of total consumption/income owned by the bottom 10%,N,Decile 1
PovCalNetSmy,Decile2,Decile2,Percent of total consumption/income owned by those between the 10% and 20% percentiles,N,Decile 2
PovCalNetSmy,Decile3,Decile3,Percent of total consumption/income owned by those between the 20% and 30% percentiles,N,Decile 3
PovCalNetSmy,Decile4,Decile4,Percent of total consumption/income owned by those between the 30% and 40% percentiles,N,Decile 4
PovCalNetSmy,Decile5,Decile5,Percent of total consumption/income owned by those between the 40% and 50% percentiles,N,Decile 5
PovCalNetSmy,Decile6,Decile6,Percent of total consumption/income owned by those between the 50% and 60% percentiles,N,Decile 6
PovCalNetSmy,Decile7,Decile7,Percent of total consumption/income owned by those between the 60% and 70% percentiles,N,Decile 7
PovCalNetSmy,Decile8,Decile8,Percent of total consumption/income owned by those between the 70% and 80% percentiles,N,Decile 8
PovCalNetSmy,Decile9,Decile9,Percent of total consumption/income owned by those between the 80% and 90% percentiles,N,Decile 9
PovCalNetSmy,Decile10,Decile10,Percent of total consumption/income owned by the top 10%,N,Decile 10
PovCalNetAgg,requestYear,requestYear,Standarized data year,N,Request Year
PovCalNetAgg,regionTitle,regionTitle,Region name,C,Region name
PovCalNetAgg,regionCID,regionCID,Region code,C,Region code
PovCalNetAgg,povertyLine,povertyLine,Poverty line in PPP,N,Poverty Line
PovCalNetAgg,mean,mean,Mean consumption/income of the economy,N,Mean
PovCalNetAgg,hc,hc,Percent of population under the poverty line,N,Hc
PovCalNetAgg,pg,pg,The ratio of the average income under the poverty line to the poverty line,N,Pg
PovCalNetAgg,p2,p2,Squared Poverty Gap Index - a measure of poverty severity,N,P2
PovCalNetAgg,population,population,Population of the country in the standardized data year,N,Population
PovCalNetP20,isInterpolated,isInterpolated,Data is interpolated between survey years,N,Is Interpolated
PovCalNetP20,useMicroData,useMicroData,Whether the data is based on unit observations (1) or grouped observations (0),N,Use Micro Data
PovCalNetP20,CountryCode,CountryCode,Country code,C,Country code
PovCalNetP20,CountryName,CountryName,Country name,C,Country name
PovCalNetP20,RegionCode,RegionCode,World Bank region code,C,Region Code
PovCalNetP20,CoverageType,CoverageType,"Survey type (Rural, Urban, National, Aggregate)",C,Coverage Type
PovCalNetP20,RequestYear,RequestYear,Standardized data year,N,Request Year
PovCalNetP20,DataYear,DataYear,Survey data year,N,Data Year
PovCalNetP20,DataType,DataType,"Survey of income (i), consumption (c), or combined (x)",C,Data Type
PovCalNetP20,PPP,PPP,Purchasing Power Parity conversion factor used to convert from 2011 LCU to 2011 PPP,N,Ppp
PovCalNetP20,PovertyLine,PovertyLine,Poverty line in PPP,N,Poverty Line
PovCalNetP20,Mean,Mean,Mean consumption/income of the economy,N,Mean
PovCalNetP20,HeadCount,HeadCount,Percent of population under poverty line,N,Head Count
PovCalNetP20,PovGap,PovGap,The ratio of the average income under the poverty line to the poverty line,N,Pov Gap
PovCalNetP20,PovGapSqr,PovGapSqr,Squared Poverty Gap Index - a measure of poverty severity,N,Pov Gap Sqr
PovCalNetP20,Watts,Watts,Watts poverty index - a measure of depth of poverty,N,Watts
PovCalNetP20,Gini,Gini,Gini coefficient - a measure of inequality,N,Gini
PovCalNetP20,Median,Median,Median consumption/income of the economy,N,Median
PovCalNetP20,pr.mld,pr.mld,Mean log deviation - a measure of inequality,N,Pr.mld
PovCalNetP20,Polarization,Polarization,Wolfson Polarisation Index - a measure of consumption/income polarisation around the median,N,Polarization
PovCalNetP20,ReqYearPopulation,ReqYearPopulation,Population of the country in the standardized data year,N,Req Year Population
PovCalNetP20,SvyInfoID,SvyInfoID,Survey identification code,C,Survey identification code
PovCalNetP20,Decile1,Decile1,Percent of total consumption/income owned by the bottom 10%,N,Decile 1
PovCalNetP20,Decile2,Decile2,Percent of total consumption/income owned by those between the 10% and 20% percentiles,N,Decile 2
PovCalNetP20,Decile3,Decile3,Percent of total consumption/income owned by those between the 20% and 30% percentiles,N,Decile 3
PovCalNetP20,Decile4,Decile4,Percent of total consumption/income owned by those between the 30% and 40% percentiles,N,Decile 4
PovCalNetP20,Decile5,Decile5,Percent of total consumption/income owned by those between the 40% and 50% percentiles,N,Decile 5
PovCalNetP20,Decile6,Decile6,Percent of total consumption/income owned by those between the 50% and 60% percentiles,N,Decile 6
PovCalNetP20,Decile7,Decile7,Percent of total consumption/income owned by those between the 60% and 70% percentiles,N,Decile 7
PovCalNetP20,Decile8,Decile8,Percent of total consumption/income owned by those between the 70% and 80% percentiles,N,Decile 8
PovCalNetP20,Decile9,Decile9,Percent of total consumption/income owned by those between the 80% and 90% percentiles,N,Decile 9
PovCalNetP20,Decile10,Decile10,Percent of total consumption/income owned by the top 10%,N,Decile 10
PovCalNetDist,i,i,Population percentile index (maximum varies by survey),N,I
PovCalNetDist,P,P,Cumulative percentile of population,N,P
PovCalNetDist,L,L,Cumulative percent of consumption/income,N,L
PovCalNetDist,svy,svy,Survey code comprised of a 3 digit country code and a 1 digit coverage type code,C,Svy
PovCalNetDist,country_code,country_code,Country code,C,Country code
PovCalNetDist,year,year,Survey year,N,Survey year
ldcs,country_name,country_name,Country name,C,Country name
ldcs,di_id,di_id,ISO Alpha 2,C,ISO Alpha 2
ldcs,iso3,iso3,ISO Alpha 3,C,ISO Alpha 3
ldcs,ldc,ldc,Least developed country (1 = True),N,Least developed country
fragility,country_name,country_name,Country name,C,Country name
fragility,di_id,di_id,ISO Alpha 2,C,ISO Alpha 2
fragility,iso3,iso3,ISO Alpha 3,C,ISO Alpha 3
fragility,fragile_2018,fragile_2018,Fragility status in 2018,N,Fragility status in 2018
historical_income_groupings,country_name,country_name,Country name,C,Country name
historical_income_groupings,di_id,di_id,ISO Alpha 2,C,ISO Alpha 2
historical_income_groupings,iso3,iso3,ISO Alpha 3,C,ISO Alpha 3
historical_income_groupings,year,year,Year,N,Year
historical_income_groupings,income_group,income_group,World Bank income grouping,C,World Bank income grouping
oecd_regions,country_name,country_name,Country name,C,Country name
oecd_regions,di_id,di_id,ISO Alpha 2,C,ISO Alpha 2
oecd_regions,iso3,iso3,ISO Alpha 3,C,ISO Alpha 3
oecd_regions,region_name,region_name,Region name,C,Region name
oecd_regions,region_code,region_code,Region code,C,Region code
oecd_regions,oda_eligible_2014_2017,oda_eligible_2014_2017,ODA eligibility 2014-2017 (1 = True),N,ODA eligibility 2014-17
oecd_regions,oda_eligible_2018_2019,oda_eligible_2018_2019,ODA eligibility 2018-2019 (1 = True),N,ODA eligibility 2018-19
oecd_regions,oda_eligible_2020,oda_eligible_2020,ODA eligibility 2020 (1 = True),N,ODA eligibility 2020
developing_countries,country_name,country_name,Country name,C,Country name
developing_countries,di_id,di_id,ISO Alpha 2,C,ISO Alpha 2
developing_countries,iso3,iso3,ISO Alpha 3,C,ISO Alpha 3
developing_countries,oda_eligible_2014_2017,oda_eligible_2014_2017,ODA eligibility 2014-2017 (1 = True),N,ODA eligibility 2014-17
developing_countries,oda_eligible_2018_2019,oda_eligible_2018_2019,ODA eligibility 2018-2019 (1 = True),N,ODA eligibility 2018-19
