active_mirror_name,col_name,col_source_name,col_description,data_type
fts_codenames,Donor,Donor,Donor,C
,codename,codename,codename,C
fts_dacregion,Donor,Donor,Donor,C
,Region,Region,Region,C
fts_deflators,deflatortype,deflatortype,deflatortype,C
,Deflators,Deflators,Deflators,N
fts_deliverychannels,Recipient.Organization,Recipient.Organization,Recipient.Organization,C
,deliverychannels,deliverychannels,deliverychannels,C
fts_destinationcountryid,Destination.Country,Destination.Country,Destination.Country,C
,destinationcountryid,destinationcountryid,destinationcountryid,C
fts_donorscountryid,Donor,Donor,Donor,C
,donorcountryid,donorcountryid,donorcountryid,C
fts_incomegroups,destinationcountrytype,destinationcountrytype,destinationcountrytype,C
,incomegroups,incomegroups,incomegroups,C
fts_ngotype,Recipient.Organization,Recipient.Organization,Recipient.Organization,C
,ngotype,ngotype,ngotype,C
fts_odaeligible,Destination.Country,Destination.Country,Destination.Country,C
,odaeligible,odaeligible,odaeligible,C
fts_privatemoney,Donor,Donor,Donor,C
,privatemoney,privatemoney,privatemoney,C
fts_recipientcodename,Recipient.Organization,Recipient.Organization,Recipient.Organization,C
,recipientcodename,recipientcodename,recipientcodename,C
fts_recipientcountryid,Recipient.Organization,Recipient.Organization,Recipient.Organization,C
,recipientcountryid,recipientcountryid,recipientcountryid,C
