Recipient.Organization,deliverychannels
Children's Aid Direct,NGOs and CSOs
World Food Programme,UN Multi
Food & Agriculture Organization of the United Nations,UN Multi
MÈdecins sans FrontiËres - France,NGOs and CSOs
Comitato Collaborazione Medica,NGOs and CSOs
International Organization for Migration,UN Multi
United Nations Population Fund,UN Multi
United Nations Children's Fund,UN Multi
World Health Organization,UN Multi
Support for Peace and Education Development Program,NGOs and CSOs
Christian Mission for Development,NGOs and CSOs
Mani Tese,NGOs and CSOs
Norwegian People's Aid,NGOs and CSOs
Horn Relief,NGOs and CSOs
Oxfam Intermon,NGOs and CSOs
VÈtÈrinaires sans FrontiËres (Belgium),NGOs and CSOs
VÈtÈrinaires sans FrontiËres (Germany),NGOs and CSOs
Mercy Corps,NGOs and CSOs
South Sudan Development Agency,NGOs and CSOs
Peace Corps Organization,Public Sector
Food for the Hungry,NGOs and CSOs
Adventist Development and Relief Agency,NGOs and CSOs
"United Nations Educational, Scientific and Cultural Organization",UN Multi
Relief International,NGOs and CSOs
United Nations High Commissioner for Refugees,UN Multi
ACF - USA,NGOs and CSOs
Office of the High Commissioner for Human Rights,UN Multi
International Rescue Committee,NGOs and CSOs
Catholic Relief Services,NGOs and CSOs
Christoffel-Blindenmission,NGOs and CSOs
Syrian Arab Republic Humanitarian Fund,UN Multi
Africare,NGOs and CSOs
Samaritan's Purse,NGOs and CSOs
United Nations Mine Action Service,UN Multi
Pakistan,Public Sector
International Federation of Red Cross and Red Crescent Societies,RCRC
United Nations Voluntary Trust Fund on Mine Action,UN Multi
Triangle GÈnÈration Humanitaire,NGOs and CSOs
Handicap International / Humanity & Inclusion,NGOs and CSOs
Norwegian Refugee Council,NGOs and CSOs
United Nations Mission in Kosovo,UN Multi
United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN Multi
International Medical Corps,NGOs and CSOs
Action for Youth & Environmental Development,Other
Central African Republic Humanitarian Fund,UN Multi
Sudan Humanitarian Fund,UN Multi
"ACT Alliance / Diakonia, Sweden",NGOs and CSOs
TEARFUND,NGOs and CSOs
United Nations Development Programme,UN Multi
Pan-American Health Organization (World Health Organization),UN Multi
Somalia Humanitarian Fund,UN Multi
