Recipient.Organization,recipientcodename
Children's Aid Direct,NGOs
World Food Programme,UN Multi
Food & Agriculture Organization of the United Nations,UN Multi
MÈdecins sans FrontiËres - France,NGOs
Comitato Collaborazione Medica,NGOs
International Organization for Migration,UN Multi
United Nations Population Fund,UN Multi
United Nations Children's Fund,UN Multi
World Health Organization,UN Multi
Support for Peace and Education Development Program,NGOs
Christian Mission for Development,NGOs
Mani Tese,NGOs
Norwegian People's Aid,NGOs
Horn Relief,NGOs
Oxfam Intermon,NGOs
VÈtÈrinaires sans FrontiËres (Belgium),NGOs
VÈtÈrinaires sans FrontiËres (Germany),NGOs
Mercy Corps,NGOs
South Sudan Development Agency,NGOs
Peace Corps Organization,DAC governments
Food for the Hungry,NGOs
Adventist Development and Relief Agency,NGOs
"United Nations Educational, Scientific and Cultural Organization",UN Multi
Relief International,NGOs
United Nations High Commissioner for Refugees,UN Multi
ACF - USA,NGOs
Office of the High Commissioner for Human Rights,UN Multi
International Rescue Committee,NGOs
Catholic Relief Services,NGOs
Christoffel-Blindenmission,NGOs
Syrian Arab Republic Humanitarian Fund,CBPF
Africare,NGOs
Samaritan's Purse,NGOs
United Nations Mine Action Service,UN Multi
Pakistan,National government
International Federation of Red Cross and Red Crescent Societies,red cross
United Nations Voluntary Trust Fund on Mine Action,UN Multi
Triangle GÈnÈration Humanitaire,NGOs
Handicap International / Humanity & Inclusion,NGOs
Norwegian Refugee Council,NGOs
United Nations Mission in Kosovo,UN Multi
United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN Multi
International Medical Corps,NGOs
Action for Youth & Environmental Development,other
Central African Republic Humanitarian Fund,CBPF
Sudan Humanitarian Fund,CBPF
"ACT Alliance / Diakonia, Sweden",NGOs
TEARFUND,NGOs
United Nations Development Programme,UN Multi
Pan-American Health Organization (World Health Organization),UN Multi
Somalia Humanitarian Fund,CBPF
Save the Children,NGOs
Peace Action Society Organisation for Somalia,NGOs
Global One 2015,NGOs
Comitato di Coordinamento delle Organizzazione per il Servizio Volontario,NGOs
Ethiopia Humanitarian Fund,CBPF
Solidarity Group of Jubbaland,NGOs
MÈdecins sans FrontiËres,NGOs
United Purpose (formerly known as Concern Universal),NGOs
CARE International,NGOs
United Nations Human Settlements Programme (UN-HABITAT),UN Multi
Medico International,NGOs
Aviation Sans Frontieres,NGOs
International Committee of the Red Cross,red cross
SolidaritÈs International,NGOs
Help - Hilfe zur Selbsthilfe e.V.,NGOs
OXFAM International,NGOs
OXFAM GB,NGOs
Action Contre la Faim,NGOs
International Medical Corps UK,NGOs
Cooperazione Internazionale - COOPI,NGOs
NGO Consortium,NGOs
Muslim Aid,NGOs
ACT Alliance / DanChurchAid,NGOs
Guatemala,National government
Deutsche Gesellschaft f¸r Internationale Zusammenarbeit,DAC governments
Office for the Coordination of Humanitarian Affairs,UN Multi
Turkish Red Crescent Society,red cross
Johanniter Unfallhilfe e.V.,NGOs
Norwegian Red Cross,red cross
PCPM - Polish Center for International Aid,academia/think/research
Malawi Red Cross Society,red cross
World Vision International,NGOs
Central Emergency Response Fund,UN Multi
Medical Emergency Relief International,NGOs
ACF - France,NGOs
GOAL,NGOs
HelpAge International,NGOs
